2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	233	-1	-1	-1	-1	-1	-1
2	-1	6	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	23	3	5	-1	-1	-1
-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101	-1	-1	-1	-1	-1	-1
2	113	6	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	23	24	5	-1	-1	-1
-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	11	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	10	-1
-1	-1	-1	-1	-1	9	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1
103	103	103	-1	-1	-1	103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	107	-1	-1	-1	-1	107	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	111	-1	-1	111	111	111	111	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	112	-1	-1	112	112	112	112	-1	-1	-1	-1	-1	-1	-1
-1	-1	11	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1
-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	11	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	21
-1	-1	-1	-1	-1	-1	-1	-1	110	17	-1	18	-1	-1	-1	-1	-1	-1	-1
-1	-1	11	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1
-1	-1	11	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1
-1	-1	-1	-1	-1	-1	-1	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	-1	6	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	23	-1	26	-1	-1	-1
105	105	105	-1	-1	-1	105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
